rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0387.jpg,154.8,0.7021,0.7242,1.0,0.2,8,8,False,True
2,frame_0072.jpg,28.8,0.6884,0.6768,0.5,1.0,5,4,False,True
3,frame_0033.jpg,13.2,0.6788,0.5827,0.625,1.0,5,5,False,True
4,frame_0069.jpg,27.6,0.6788,0.5826,0.625,1.0,5,5,False,False
5,frame_0077.jpg,30.8,0.6715,0.616,0.625,0.88,5,5,False,True
6,frame_0131.jpg,52.4,0.6664,0.7988,0.25,0.96,3,2,False,True
7,frame_0070.jpg,28.0,0.6583,0.6165,0.5,1.0,4,4,False,False
8,frame_0130.jpg,52.0,0.658,0.723,0.375,0.92,3,3,False,False
9,frame_0129.jpg,51.6,0.648,0.644,0.5,0.88,6,4,False,False
10,frame_0123.jpg,49.2,0.6307,0.8554,0.25,0.64,4,2,False,True
11,frame_0079.jpg,31.6,0.6284,0.6368,0.5,0.8,5,4,False,False
12,frame_0073.jpg,29.2,0.6254,0.6258,0.375,1.0,6,3,False,False
13,frame_0010.jpg,4.0,0.6182,0.7614,0.125,1.0,1,1,False,True
14,frame_0011.jpg,4.4,0.6179,0.6857,0.25,1.0,2,2,False,False
15,frame_0290.jpg,116.0,0.6175,0.615,0.5,0.8,4,4,False,True
16,frame_0024.jpg,9.6,0.617,0.759,0.125,1.0,1,1,False,True
17,frame_0074.jpg,29.6,0.6166,0.6082,0.375,1.0,6,3,False,False
18,frame_0000.jpg,0.0,0.6156,0.6062,0.375,1.0,5,3,False,True
19,frame_0285.jpg,114.0,0.6013,0.6627,0.5,0.6,4,4,False,True
20,frame_0088.jpg,35.2,0.601,0.8761,0.25,0.44,3,2,False,True
21,frame_0289.jpg,115.6,0.5941,0.8093,0.125,0.76,3,1,False,False
22,frame_0294.jpg,117.6,0.5934,0.5987,0.5,0.72,4,4,False,False
23,frame_0173.jpg,69.2,0.5926,0.6662,0.625,0.36,5,5,False,False
24,frame_0367.jpg,146.8,0.5924,0.6278,0.875,0.08,8,7,False,False
25,frame_0067.jpg,26.8,0.5829,0.4657,0.5,1.0,5,4,False,False
26,frame_0376.jpg,150.4,0.5825,0.726,0.625,0.16,6,5,False,False
27,frame_0087.jpg,34.8,0.5755,0.8839,0.125,0.48,2,1,False,False
28,frame_0014.jpg,5.6,0.5744,0.5238,0.375,1.0,4,3,False,False
29,frame_0296.jpg,118.4,0.5726,0.6642,0.375,0.64,5,3,False,False
30,frame_0122.jpg,48.8,0.5686,0.6723,0.375,0.6,4,3,False,False
31,frame_0006.jpg,2.4,0.5659,0.6568,0.125,1.0,1,1,False,False
32,frame_0029.jpg,11.6,0.5555,0.486,0.375,1.0,5,3,False,False
33,frame_0021.jpg,8.4,0.5553,0.4856,0.375,1.0,4,3,False,False
34,frame_0001.jpg,0.4,0.5509,0.5517,0.25,1.0,5,2,False,False
35,frame_0020.jpg,8.0,0.5506,0.4761,0.375,1.0,4,3,False,False
36,frame_0210.jpg,84.0,0.5488,0.6755,0.25,0.68,2,2,False,False
37,frame_0217.jpg,86.8,0.5457,0.8564,0.125,0.4,1,1,False,False
38,frame_0031.jpg,12.4,0.5396,0.4543,0.375,1.0,5,3,False,False
39,frame_0306.jpg,122.4,0.5384,0.6059,0.625,0.24,7,5,False,False
40,frame_0071.jpg,28.4,0.538,0.4511,0.375,1.0,5,3,False,False
41,frame_0379.jpg,151.6,0.5379,0.6099,0.75,0.04,9,6,False,False
42,frame_0198.jpg,79.2,0.5352,0.8194,0.125,0.44,1,1,False,False
43,frame_0233.jpg,93.2,0.5336,0.7463,0.375,0.24,4,3,False,False
44,frame_0375.jpg,150.0,0.5297,0.6793,0.5,0.2,9,4,False,False
45,frame_0368.jpg,147.2,0.5279,0.5898,0.75,0.04,7,6,False,False
46,frame_0007.jpg,2.8,0.5253,0.5007,0.25,1.0,3,2,False,False
47,frame_0328.jpg,131.2,0.5252,0.6435,0.625,0.08,10,5,False,False
48,frame_0292.jpg,116.8,0.5218,0.5736,0.25,0.8,4,2,False,False
49,frame_0317.jpg,126.8,0.5185,0.732,0.375,0.2,6,3,False,False
50,frame_0284.jpg,113.6,0.5179,0.5868,0.375,0.56,5,3,False,False
51,frame_0004.jpg,1.6,0.5176,0.4852,0.25,1.0,5,2,False,False
52,frame_0030.jpg,12.0,0.5171,0.4091,0.375,1.0,5,3,False,False
53,frame_0377.jpg,150.8,0.517,0.6109,0.625,0.12,8,5,False,False
54,frame_0327.jpg,130.8,0.5157,0.6404,0.625,0.04,7,5,False,False
55,frame_0025.jpg,10.0,0.5143,0.5536,0.125,1.0,1,1,False,False
56,frame_0291.jpg,116.4,0.5121,0.4632,0.375,0.84,6,3,False,False
57,frame_0287.jpg,114.8,0.5116,0.6012,0.25,0.68,5,2,False,False
58,frame_0278.jpg,111.2,0.5113,0.5946,0.5,0.32,6,4,False,False
59,frame_0076.jpg,30.4,0.5098,0.4265,0.375,0.92,7,3,False,False
60,frame_0301.jpg,120.4,0.5052,0.5344,0.5,0.44,6,4,False,False
61,frame_0068.jpg,27.2,0.5046,0.4591,0.25,1.0,3,2,False,False
62,frame_0125.jpg,50.0,0.5042,0.4954,0.375,0.72,5,3,False,False
63,frame_0213.jpg,85.2,0.502,0.705,0.125,0.56,1,1,False,False
64,frame_0126.jpg,50.4,0.5012,0.5484,0.25,0.76,6,2,False,False
65,frame_0133.jpg,53.2,0.4999,0.4498,0.25,1.0,5,2,False,False
66,frame_0183.jpg,73.2,0.4989,0.7568,0.375,0.04,4,3,False,False
67,frame_0078.jpg,31.2,0.4962,0.5065,0.25,0.84,4,2,False,False
68,frame_0232.jpg,92.8,0.4956,0.6111,0.5,0.2,4,4,False,False
69,frame_0318.jpg,127.2,0.4956,0.5953,0.5,0.24,5,4,False,False
70,frame_0015.jpg,6.0,0.4903,0.5805,0.0,1.0,4,0,False,False
71,frame_0305.jpg,122.0,0.4885,0.5651,0.5,0.28,4,4,False,False
72,frame_0297.jpg,118.8,0.4877,0.5854,0.25,0.6,6,2,False,False
73,frame_0389.jpg,155.6,0.487,0.551,0.625,0.12,5,5,False,False
74,frame_0170.jpg,68.0,0.4863,0.4807,0.5,0.48,5,4,False,False
75,frame_0027.jpg,10.8,0.4857,0.4214,0.25,1.0,2,2,False,False
76,frame_0019.jpg,7.6,0.4795,0.484,0.125,1.0,2,1,False,False
77,frame_0209.jpg,83.6,0.4751,0.5123,0.25,0.72,3,2,False,False
78,frame_0293.jpg,117.2,0.4733,0.4925,0.25,0.76,4,2,False,False
79,frame_0216.jpg,86.4,0.4724,0.6939,0.125,0.44,2,1,False,False
80,frame_0009.jpg,3.6,0.4683,0.3867,0.25,1.0,2,2,False,False
81,frame_0298.jpg,119.2,0.468,0.4871,0.375,0.56,6,3,False,False
82,frame_0374.jpg,149.6,0.4651,0.6252,0.375,0.2,7,3,False,False
83,frame_0116.jpg,46.4,0.4637,0.5583,0.375,0.36,5,3,False,False
84,frame_0309.jpg,123.6,0.4631,0.6532,0.375,0.12,4,3,False,False
